subject_id,genotype,site,psl_intensity
B0200,A,Infection,2510.262
B0200,A,Distant,3127.989
B0201,A,Infection,3251.497
B0201,A,Distant,2387.711
B0202,A,Infection,3581.017
B0202,A,Distant,2058.31
B0203,A,Infection,4559.828
B0203,A,Distant,3126.701
B0204,B,Infection,903.737
B0204,B,Distant,740.962
B0205,B,Infection,806.202
B0205,B,Distant,1121.557
B0206,B,Infection,691.396
B0206,B,Distant,412.794
B0207,B,Infection,781.796
B0207,B,Distant,1387.328
B0208,C,Infection,2072.446
B0208,C,Distant,2116.216
B0209,C,Infection,1992.328
B0209,C,Distant,2585.873
B0210,C,Infection,2352.534
B0210,C,Distant,1597.238
B0211,C,Infection,3927.385
B0211,C,Distant,2209.615
